Model	Params	Recall	RR@10	QPS	SearchSecMedian	IndexSec	PeakRSSGB	Threads
PyANNS	graph=nq_splade_R32_L1600 ef=300 budget=0.1	0.971234067207416	0.9979721900347625	13313.86932129253	0.25927849498111755	1942.4017678920063	13.019866943359375	64
PyANNS	graph=nq_splade_R48_L800 ef=300 budget=0.2	0.9772016222479721	0.9991309385863267	8577.819131910523	0.40243329299846664	1724.0271129959729	13.347347259521484	64
PyANNS	graph=nq_splade_R48_L800 ef=300 budget=0.1	0.9796349942062572	0.9994206257242179	8285.628304460402	0.41662501299288124	1724.0271129959729	13.347347259521484	64
PyANNS	graph=nq_splade_R64_L800 ef=300 budget=0.2	0.981981460023175	0.9994206257242179	6770.895940056223	0.5098291320027784	2201.4017655950156	13.658500671386719	64
PyANNS	graph=nq_splade_R64_L800 ef=300 budget=0.15	0.9831112398609502	0.9994206257242179	6699.031397236579	0.5152983760344796	2201.4017655950156	13.658500671386719	64
PyANNS	graph=nq_splade_R48_L800 ef=600 budget=0.2	0.9865295480880649	1.0	4662.553120681655	0.7403668999904767	1724.0271129959729	13.35446548461914	64
PyANNS	graph=nq_splade_R48_L800 ef=600 budget=0.15	0.9876593279258401	1.0	4579.8800172392	0.7537315359804779	1724.0271129959729	13.35446548461914	64
PyANNS	graph=nq_splade_R64_L800 ef=600 budget=0.2	0.9892815758980301	1.0	3681.903770986012	0.937558452016674	2201.4017655950156	13.666492462158203	64
PyANNS	graph=nq_splade_R48_L800 ef=1200 budget=0.2	0.9923812282734646	1.0	2425.3663212539695	1.4232901519862935	1724.0271129959729	13.36227798461914	64
PyANNS	graph=nq_splade_R64_L800 ef=1200 budget=0.2	0.9936848203939745	1.0	1932.5842592210681	1.7862093119765632	2201.4017655950156	13.674304962158203	64
PyANNS	graph=nq_splade_R48_L800 ef=2400 budget=0.15	0.9950463499420625	1.0	1231.3961950647476	2.8033219639910385	1724.0271129959729	13.393451690673828	64
PyANNS	graph=nq_splade_R64_L800 ef=4800 budget=0.3	0.997045191193511	1.0	537.8923499098801	6.417641003034078	2201.4017655950156	13.751502990722656	64
SEISMIC	n_postings=500 summary_energy=0.6 centroid_fraction=0.3 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0	0.5741309385863268	0.8258980301274623	180435.68105667416	0.019131471002765466	33.88040570099838	3.9072494506835938	64
SEISMIC	n_postings=500 summary_energy=0.6 centroid_fraction=0.4 max_fraction=6.0 doc_cut=15 nknn=0 n_knn=0 sorted=True query_cut=1 heap_factor=1.0	0.5757242178447277	0.8256083429895713	174516.28475431076	0.01978038900415413	34.589354631003516	3.9072532653808594	64
