alpha,beta,ef,refine_runs,time_v2,time_v3,speedup_raw,speedup_drift_corrected,recall_v2,recall_v3,qps_v2,qps_v3
0.6,4,10,1,0.023411,0.022272,1.0511,1.0552,0.864050,0.861443,147452.05,154992.82
0.6,4,20,1,0.023134,0.021833,1.0596,1.0636,0.864050,0.861443,149217.60,158109.28
0.6,4,50,1,0.027532,0.026418,1.0422,1.0461,0.878853,0.876506,125381.37,130668.48
0.6,4,100,1,0.048536,0.047647,1.0187,1.0225,0.910313,0.909733,71122.47,72449.47
0.6,4,200,1,0.087224,0.086555,1.0077,1.0116,0.924971,0.925898,39576.26,39882.16
0.6,4,400,1,0.161660,0.160997,1.0041,1.0080,0.933488,0.933951,21353.46,21441.39
0.6,4,800,1,0.304411,0.304559,0.9995,1.0033,0.937978,0.938181,11339.93,11334.42
0.6,4,1600,1,0.584785,0.586999,0.9962,1.0000,0.940672,0.940672,5903.02,5880.76
0.6,4,3200,1,1.109077,1.116488,0.9934,0.9972,0.942410,0.942555,3112.50,3091.84
0.6,5,10,1,0.028660,0.027066,1.0589,1.0629,0.888210,0.885718,120446.62,127540.09
0.6,5,20,1,0.028261,0.026691,1.0588,1.0629,0.888210,0.885718,122147.13,129331.98
0.6,5,50,1,0.028231,0.026633,1.0600,1.0640,0.888210,0.885718,122276.93,129613.64
0.6,5,100,1,0.049131,0.047991,1.0238,1.0277,0.920394,0.922277,70261.14,71930.15
0.6,5,200,1,0.087581,0.086731,1.0098,1.0137,0.937688,0.938499,39414.94,39801.22
0.6,5,400,1,0.162250,0.161819,1.0027,1.0065,0.946176,0.946727,21275.81,21332.48
0.6,5,800,1,0.304474,0.306302,0.9940,0.9978,0.951072,0.951246,11337.59,11269.92
0.6,5,1600,1,0.584840,0.588003,0.9946,0.9984,0.953592,0.953592,5902.47,5870.72
0.6,5,3200,1,1.110027,1.115646,0.9950,0.9988,0.955388,0.955330,3109.83,3094.17
0.7,1,10,0,0.009414,0.009273,1.0152,1.0191,0.626043,0.625319,366687.91,372263.56
0.7,1,20,0,0.015886,0.015953,0.9958,0.9996,0.705852,0.705156,217298.25,216385.63
0.7,1,50,0,0.032861,0.032906,0.9986,1.0024,0.761501,0.762486,105048.54,104904.88
0.7,1,100,0,0.059456,0.059496,0.9993,1.0031,0.781663,0.781315,58059.74,58020.71
0.7,1,200,0,0.108316,0.108833,0.9952,0.9990,0.790585,0.790006,31869.71,31718.32
0.7,1,400,0,0.200734,0.201470,0.9963,1.0001,0.797364,0.797103,17196.89,17134.06
0.7,1,800,0,0.379431,0.382124,0.9930,0.9967,0.799768,0.799652,9097.83,9033.72
0.7,1,1600,0,0.729701,0.734134,0.9940,0.9978,0.801304,0.801159,4730.70,4702.14
0.7,1,3200,0,1.375652,1.388569,0.9907,0.9945,0.802086,0.802028,2509.36,2486.01
0.7,2,10,1,0.017498,0.016792,1.0420,1.0460,0.810921,0.812601,197279.69,205574.08
0.7,2,20,1,0.017153,0.016239,1.0563,1.0603,0.810921,0.812601,201247.60,212574.67
0.7,2,50,1,0.034327,0.033654,1.0200,1.0239,0.884096,0.883546,100562.24,102573.25
0.7,2,100,1,0.060396,0.060277,1.0020,1.0058,0.908604,0.910023,57156.10,57268.94
0.7,2,200,1,0.109447,0.109986,0.9951,0.9989,0.922248,0.922740,31540.38,31385.81
0.7,2,400,1,0.202711,0.204063,0.9934,0.9972,0.931025,0.930881,17029.17,16916.34
0.7,2,800,1,0.381313,0.385093,0.9902,0.9940,0.934849,0.935313,9052.93,8964.07
0.7,2,1600,1,0.730828,0.737637,0.9908,0.9946,0.937457,0.937572,4723.41,4679.81
0.7,2,3200,1,1.376833,1.390194,0.9904,0.9942,0.939629,0.939542,2507.20,2483.11
0.7,3,10,1,0.024097,0.022848,1.0547,1.0587,0.869583,0.872711,143254.35,151085.43
0.7,3,20,1,0.023500,0.022418,1.0483,1.0523,0.869583,0.872711,146893.62,153983.41
0.7,3,50,1,0.034588,0.033751,1.0248,1.0287,0.905533,0.908749,99803.40,102278.45
0.7,3,100,1,0.061201,0.060569,1.0104,1.0143,0.934878,0.936761,56404.31,56992.85
0.7,3,200,1,0.111120,0.110382,1.0067,1.0105,0.948696,0.950145,31065.51,31273.21
0.7,3,400,1,0.203447,0.203855,0.9980,1.0018,0.958430,0.959009,16967.56,16933.60
0.7,3,800,1,0.384301,0.384347,0.9999,1.0037,0.963470,0.963528,8982.54,8981.47
0.7,3,1600,1,0.736211,0.736403,0.9997,1.0036,0.965962,0.966136,4688.87,4687.65
0.7,3,3200,1,1.389061,1.389725,0.9995,1.0033,0.967990,0.968134,2485.13,2483.94
0.7,4,10,1,0.030220,0.029195,1.0351,1.0391,0.902636,0.902375,114228.99,118239.42
0.7,4,20,1,0.029781,0.028872,1.0315,1.0354,0.902636,0.902375,115912.83,119562.21
0.7,4,50,1,0.035347,0.034254,1.0319,1.0358,0.914253,0.914455,97660.34,100776.55
0.7,4,100,1,0.062032,0.061071,1.0157,1.0196,0.943395,0.945452,55648.70,56524.37
0.7,4,200,1,0.111012,0.109631,1.0126,1.0165,0.959212,0.959241,31095.74,31487.44
0.7,4,400,1,0.202948,0.203140,0.9991,1.0029,0.968221,0.969293,17009.28,16993.21
0.7,4,800,1,0.382584,0.384670,0.9946,0.9984,0.973262,0.973291,9022.86,8973.93
0.7,4,1600,1,0.734492,0.737597,0.9958,0.9996,0.975985,0.975956,4699.85,4680.06
0.7,4,3200,1,1.385067,1.386090,0.9993,1.0031,0.978042,0.978331,2492.30,2490.46
0.7,5,10,1,0.036408,0.034963,1.0413,1.0453,0.919177,0.918772,94814.33,98732.95
0.7,5,20,1,0.035871,0.034789,1.0311,1.0350,0.919177,0.918772,96233.73,99226.77
0.7,5,50,1,0.035814,0.034612,1.0347,1.0387,0.919177,0.918772,96386.89,99734.20
0.7,5,100,1,0.062463,0.061070,1.0228,1.0267,0.950840,0.949623,55264.72,56525.30
0.7,5,200,1,0.110388,0.109700,1.0063,1.0101,0.964484,0.964340,31271.52,31467.64
0.7,5,400,1,0.203125,0.203319,0.9990,1.0029,0.974073,0.974334,16994.46,16978.25
0.7,5,800,1,0.381911,0.384486,0.9933,0.9971,0.979403,0.979200,9038.76,8978.22
0.7,5,1600,1,0.731506,0.736393,0.9934,0.9972,0.981952,0.981866,4719.03,4687.71
0.7,5,3200,1,1.377291,1.385670,0.9940,0.9977,0.984154,0.984038,2506.37,2491.21
